bowl Data type: individual, mask: None, vocab tree: None, SfM time: 2898, MVS time: 4, total time: 2902
bowl Data type: individual, mask: None, vocab tree: On, SfM time: 2944, MVS time: 4, total time: 2948
bowl Data type: individual, mask: Object, vocab tree: None, SfM time: 1269, MVS time: 2, total time: 1271
bowl Data type: individual, mask: Object, vocab tree: On, SfM time: 1360, MVS time: 1, total time: 1361
bowl Data type: individual, mask: Segment, vocab tree: None, SfM time: 1248, MVS time: 2, total time: 1250
bowl Data type: individual, mask: Segment, vocab tree: On, SfM time: 1284, MVS time: 1, total time: 1285
bowl Data type: video, mask: None, vocab tree: None, SfM time: 813, MVS time: 3, total time: 816
bowl Data type: video, mask: None, vocab tree: On, SfM time: 787, MVS time: 2, total time: 789
bowl Data type: video, mask: Object, vocab tree: None, SfM time: 445, MVS time: 1, total time: 446
bowl Data type: video, mask: Object, vocab tree: On, SfM time: 454, MVS time: 0, total time: 454
bowl Data type: video, mask: Segment, vocab tree: None, SfM time: 440, MVS time: 1, total time: 441
bowl Data type: video, mask: Segment, vocab tree: On, SfM time: 456, MVS time: 1, total time: 457
bowl Data type: internet, mask: None, vocab tree: None, SfM time: 3138, MVS time: 3, total time: 3141
bowl Data type: internet, mask: None, vocab tree: On, SfM time: 2995, MVS time: 4, total time: 2999
bowl Data type: internet, mask: Object, vocab tree: None, SfM time: 1296, MVS time: 1, total time: 1297
bowl Data type: internet, mask: Object, vocab tree: On, SfM time: 1350, MVS time: 2, total time: 1352
bowl Data type: internet, mask: Segment, vocab tree: None, SfM time: 1342, MVS time: 1, total time: 1343
bowl Data type: internet, mask: Segment, vocab tree: On, SfM time: 1373, MVS time: 1, total time: 1374
orange Data type: individual, mask: None, vocab tree: None, SfM time: 196, MVS time: 1, total time: 197
orange Data type: individual, mask: None, vocab tree: On, SfM time: 169, MVS time: 0, total time: 169
orange Data type: individual, mask: Object, vocab tree: None, SfM time: 151, MVS time: 0, total time: 151
orange Data type: individual, mask: Object, vocab tree: On, SfM time: 152, MVS time: 0, total time: 152
orange Data type: individual, mask: Segment, vocab tree: None, SfM time: 152, MVS time: 0, total time: 152
orange Data type: individual, mask: Segment, vocab tree: On, SfM time: 150, MVS time: 1, total time: 151
orange Data type: video, mask: None, vocab tree: None, SfM time: 118, MVS time: 1, total time: 119
orange Data type: video, mask: None, vocab tree: On, SfM time: 117, MVS time: 1, total time: 118
orange Data type: video, mask: Object, vocab tree: None, SfM time: 112, MVS time: 0, total time: 112
orange Data type: video, mask: Object, vocab tree: On, SfM time: 112, MVS time: 0, total time: 112
orange Data type: video, mask: Segment, vocab tree: None, SfM time: 113, MVS time: 1, total time: 114
orange Data type: video, mask: Segment, vocab tree: On, SfM time: 112, MVS time: 0, total time: 112
orange Data type: internet, mask: None, vocab tree: None, SfM time: 179, MVS time: 0, total time: 179
orange Data type: internet, mask: None, vocab tree: On, SfM time: 179, MVS time: 0, total time: 179
orange Data type: internet, mask: Object, vocab tree: None, SfM time: 162, MVS time: 0, total time: 162
orange Data type: internet, mask: Object, vocab tree: On, SfM time: 169, MVS time: 1, total time: 170
orange Data type: internet, mask: Segment, vocab tree: None, SfM time: 172, MVS time: 0, total time: 172
orange Data type: internet, mask: Segment, vocab tree: On, SfM time: 160, MVS time: 0, total time: 160
teddybear Data type: individual, mask: None, vocab tree: None, SfM time: 1345, MVS time: 2, total time: 1347
teddybear Data type: individual, mask: None, vocab tree: On, SfM time: 1420, MVS time: 2, total time: 1422
teddybear Data type: individual, mask: Object, vocab tree: None, SfM time: 939, MVS time: 2, total time: 941
teddybear Data type: individual, mask: Object, vocab tree: On, SfM time: 966, MVS time: 2, total time: 968
teddybear Data type: individual, mask: Segment, vocab tree: None, SfM time: 902, MVS time: 2, total time: 904
teddybear Data type: individual, mask: Segment, vocab tree: On, SfM time: 936, MVS time: 2, total time: 938
teddybear Data type: video, mask: None, vocab tree: None, SfM time: 450, MVS time: 3, total time: 453
teddybear Data type: video, mask: None, vocab tree: On, SfM time: 453, MVS time: 2, total time: 455
teddybear Data type: video, mask: Object, vocab tree: None, SfM time: 360, MVS time: 2, total time: 362
teddybear Data type: video, mask: Object, vocab tree: On, SfM time: 356, MVS time: 2, total time: 358
teddybear Data type: video, mask: Segment, vocab tree: None, SfM time: 361, MVS time: 2, total time: 363
teddybear Data type: video, mask: Segment, vocab tree: On, SfM time: 354, MVS time: 2, total time: 356
teddybear Data type: internet, mask: None, vocab tree: None, SfM time: 1421, MVS time: 2, total time: 1423
teddybear Data type: internet, mask: None, vocab tree: On, SfM time: 1464, MVS time: 2, total time: 1466
teddybear Data type: internet, mask: Object, vocab tree: None, SfM time: 994, MVS time: 1, total time: 995
teddybear Data type: internet, mask: Object, vocab tree: On, SfM time: 1029, MVS time: 2, total time: 1031
teddybear Data type: internet, mask: Segment, vocab tree: None, SfM time: 964, MVS time: 1, total time: 965
teddybear Data type: internet, mask: Segment, vocab tree: On, SfM time: 995, MVS time: 2, total time: 997
